Zip Code,Population,Population Percentile
95721,69,3.1
95722,3747,63
95726,8577,72.8
95728,88,6.8
95735,25,1.3
95736,31,1.8
95742,299,20.2
95746,20675,83.3
95747,25418,86.9
95758,47065,98.5
95762,22028,85.9
95765,15494,80.1
95776,15022,80
95814,16599,81.9
95815,25355,87
95816,16164,82.2
95817,14966,81.1
95818,21313,85.4
95819,15975,82.4
95820,37031,96
95821,35426,95
95822,44683,98.5
95823,72199,99.5
95824,30580,92
95825,30715,92.4
95826,38818,97.9
95827,19611,87.8
95828,54880,99.4
95829,11396,84.1
95830,592,37.1
95831,42832,99.4
95832,9063,82.2
95833,31422,94.7
95834,8403,81.5
95835,854,47
95836,16,0.5
95837,264,18.7
95838,34894,96.7
95841,20993,89.7
95842,31373,95.1
95843,36432,98.3
95864,23362,91.7
95901,38091,98.8
95903,5654,80.5
95910,118,9.4
95912,4796,78.6
95913,218,15.2
95914,626,41.4
95916,1279,57.1
95917,3169,71.2
95918,1477,60.6
95919,1237,56.9
95920,303,23.9
95922,632,42.3
95923,86,6.5
95925,262,17.8
95926,35808,98.8
95928,32848,97.5
95930,282,21.2
95932,7503,83.5
95934,178,14.1
95935,614,40.1
95936,404,28.5
95937,19,0.6
95938,3524,72.3
95939,587,37.9
95941,452,32.4
95942,1351,58.3
95943,1454,58.7
95944,76,3.8
95945,23990,92.8
95946,9752,85.5
95947,2064,66.2
95948,9763,86
95949,17922,91.2
95950,531,37.8
95951,1931,65.9
95953,8695,84.9
95954,11168,86.8
95955,1146,56.2
95956,301,23.7
95957,776,45
95959,17269,90
95960,565,39.2
95961,6439,84.8
95962,1519,61.5
95963,13706,88.3
95965,17782,90.4
95966,28382,95.5
95968,1254,60.4
95969,28318,95.4
95970,495,39.3
95971,6189,86.2
95972,140,13
95973,26971,94.5
95974,74,3.9
95975,1601,65.3
95977,963,57.9
95978,28,0.8
95979,844,50.8
95981,101,7.3
95982,3193,74.5
95983,513,39.6
95984,73,2.5
95986,145,10.9
95987,4579,81.3
95988,8812,88
95991,34967,98.2
95993,27786,95.6
96001,31586,97.3
96002,30338,97.3
96003,41476,99.1
96006,615,44.1
96007,21418,97.2
96008,899,55
96009,595,43.5
96010,269,22.4
96011,265,20.7
96013,4552,85.7
96014,290,23
96015,417,34.9
96016,344,26.4
96017,228,17.8
96019,6277,91
96020,2664,77.7
96021,13840,94.8
96022,12348,94.8
96023,1162,61.4
96024,960,60
96025,2602,78.7
96027,2156,75.2
96028,1902,73.9
96029,84,4.3
96031,170,14.4
96032,2345,75.2
96033,373,28.4
96034,392,31
96035,3357,79
96037,295,24.7
96038,616,44
96039,1294,66.2
96040,397,31.7
96041,2511,75.3
96044,1026,62.5
96046,268,24
96047,911,57.6
96048,734,48
96050,482,42.1
96051,1236,62.6
96052,1845,71.6
96054,386,32.8
96055,3756,77.7
96056,1554,67.6
96057,1586,68.5
96058,816,52.1
96059,598,47
96061,78,4.4
96062,830,53
96063,124,12.3
96064,4592,82.8
96065,431,38
96067,7309,90.3
96068,240,24.5
96069,829,51.6
96071,182,18.6
96073,4931,86.2
96074,263,24.5
96075,433,37.5
96076,215,20
96080,26438,96.2
96084,459,39.6
96085,88,7.6
96086,332,27.4
96087,528,40
96088,4231,81.6
96090,405,33.3
96091,734,44.6
96092,439,36.9
96093,3749,75.5
96094,5896,88.6
96096,843,46.5
96097,9538,90.4
96101,5096,90.2
96103,1839,72.5
96104,857,51.2
96105,650,47.3
96106,88,10.8
96107,1332,66.6
96108,104,11.4
96109,1177,61.7
96110,132,18.1
96112,231,25
96113,946,54.8
96114,3093,73.3
96115,124,17.2
96116,277,25
96117,385,33.3
96118,1822,61.5
96119,85,12
96120,957,54.1
96121,481,39.1
96122,4236,77.2
96123,61,4.7
96124,322,25
96125,348,26.3
96126,227,22.2
96128,408,23.5
96130,19440,87.5
96132,72,6.6
96133,116,7.1
96134,2595,53.8
96136,162,8.3
96137,4158,63.6
96140,1943,50
96141,858,22.2
96142,1291,37.5
96143,4806,57.1
96145,4002,50
96146,942,40
96148,678,25
96150,33038,66.6
96161,15783,100
